state,crop,year,area_harvested_ha,yield_t_per_ha,production_tonnes
Ogun,Cassava,2022,280431.2,9.27,2600298.3
Ogun,Cassava,2023,241652.3,13.43,3245877.3
Ogun,Cassava,2024,274122.6,10.46,2867403.5
Ondo,Cassava,2014,192407.4,13.14,2527878.6
Ondo,Cassava,2015,244659.3,10.17,2488110.9
Ondo,Cassava,2016,274723.1,10.65,2925610.7
Ondo,Cassava,2017,220032.3,12.74,2803880.6
Ondo,Cassava,2018,236202.9,13.67,3227739.8
Ondo,Cassava,2019,310632.2,9.51,2953602.7
Ondo,Cassava,2020,243999.7,11.97,2920288.1
Ondo,Cassava,2021,260293.5,10.48,2727041.7
Ondo,Cassava,2022,288590,9.21,2658420
Ondo,Cassava,2023,268533.1,11.52,3093008.5
Ondo,Cassava,2024,256650.4,11.93,3062410.9
Osun,Cassava,2014,99920.9,11.35,1133880.6
Osun,Cassava,2015,101150.4,11.51,1163757.8
Osun,Cassava,2016,103177.9,13.69,1412415.9
Osun,Cassava,2017,123289.2,9.9,1220111.9
Osun,Cassava,2018,102345,11.27,1153375.5
Osun,Cassava,2019,124321.3,11.31,1406570.8
Osun,Cassava,2020,85948.8,13.66,1173731.8
Osun,Cassava,2021,103972.5,13.49,1402086.7
Osun,Cassava,2022,109494.9,12.25,1340892.1
Osun,Cassava,2023,111332.8,10.86,1209220.3
Osun,Cassava,2024,107959.8,13.26,1431555.1
Oyo,Cassava,2014,340386.2,11.22,3818135.8
Oyo,Cassava,2015,314504.2,11.18,3517285
Oyo,Cassava,2016,377287.6,9.42,3554887.8
Oyo,Cassava,2017,411860,9.22,3799224.2
Oyo,Cassava,2018,372759.3,9.7,3616398.2
Oyo,Cassava,2019,382933.9,11.08,4243410.2
Oyo,Cassava,2020,306650.8,13.68,4194890.9
Oyo,Cassava,2021,354773.3,12.43,4410003.3
Oyo,Cassava,2022,285077.8,13.9,3962874
Oyo,Cassava,2023,398338.8,11.56,4606268.6
Oyo,Cassava,2024,445185.3,9.22,4106052.9
Plateau,Cassava,2014,30203.3,10,302019.6
Plateau,Cassava,2015,21131.1,13.85,292578.3
Plateau,Cassava,2016,28039.8,10.41,291787.3
Plateau,Cassava,2017,23450.2,11.53,270419.1
Plateau,Cassava,2018,31730.6,10.42,330747.5
Plateau,Cassava,2019,23037.3,13.74,316631
Plateau,Cassava,2020,33911.3,9.79,331926.1
Plateau,Cassava,2021,23055.7,13.25,305419.8
Plateau,Cassava,2022,29064.3,11.04,320983.2
Plateau,Cassava,2023,32889,10.05,330379.6
Plateau,Cassava,2024,37219,9.96,370627.1
Rivers,Cassava,2014,165067.8,13.85,2286764.5
Rivers,Cassava,2015,196223.9,12.31,2415434.1
Rivers,Cassava,2016,226627.9,9.85,2232956.7
Rivers,Cassava,2017,237162.8,10.58,2509098.5
Rivers,Cassava,2018,273656.7,9.09,2487315.8
Rivers,Cassava,2019,280066.3,9.5,2659388.3
Rivers,Cassava,2020,245075.7,10.27,2516171.3
Rivers,Cassava,2021,202513.2,13.59,2752601.8
Rivers,Cassava,2022,281307.4,9.46,2660775.4
Rivers,Cassava,2023,206671.2,13.19,2725354.2
Rivers,Cassava,2024,191287.7,13.22,2528429.2
Taraba,Cassava,2014,180178.7,11.33,2042074
Taraba,Cassava,2015,197087.5,11.03,2174255.9
Taraba,Cassava,2016,161454,11.95,1930114.8
Taraba,Cassava,2017,242993.6,9.47,2301716.6
Taraba,Cassava,2018,213300.1,10.16,2167812.7
Taraba,Cassava,2019,162266.7,13.01,2111110.6
Taraba,Cassava,2020,201959.3,11.82,2388118.7
Taraba,Cassava,2021,150893.5,13.4,2021369.7
Taraba,Cassava,2022,163986.4,12.92,2118770.3
Taraba,Cassava,2023,228374.2,10.4,2375790.3
Taraba,Cassava,2024,189162.4,12.81,2424024
Adamawa,Maize,2014,363481.6,2.4,872861
Adamawa,Maize,2015,514757.2,1.63,837292.6
Adamawa,Maize,2016,366562.6,2,733588.9
Adamawa,Maize,2017,347448,2.34,814230.4
Adamawa,Maize,2018,355153.8,2.25,799689
Adamawa,Maize,2019,442365,1.76,777466.8
Adamawa,Maize,2020,477509.3,1.66,792823.4
Adamawa,Maize,2021,312111.7,2.35,734018.2
Adamawa,Maize,2022,410625.4,1.84,753602.9
Adamawa,Maize,2023,429631,2.24,962051.3
Adamawa,Maize,2024,415435.8,2.43,1009341
Bauchi,Maize,2014,293832.4,1.6,470284.2
Bauchi,Maize,2015,232868.5,1.87,435626.4
Bauchi,Maize,2016,193058.2,1.98,382396.7
Bauchi,Maize,2017,264526.8,1.87,494755.5
Bauchi,Maize,2018,196542,2.31,453186
Bauchi,Maize,2019,272702,1.66,453593.1
Bauchi,Maize,2020,211207.9,2.27,479833.6
Bauchi,Maize,2021,219048.9,2.1,459549.7
Bauchi,Maize,2022,189761.2,2.44,462092.5
Bauchi,Maize,2023,221930.9,2.22,492446.1
Bauchi,Maize,2024,286920.4,2,572818.4
Benue,Maize,2014,348625.8,1.75,611324.2
Benue,Maize,2015,215193.2,2.36,507406.3
Benue,Maize,2016,207733.7,2.58,535669.3
Benue,Maize,2017,309811.3,1.93,598157.6
Benue,Maize,2018,267132.4,2.13,570221
Benue,Maize,2019,230422.1,2.58,593842.2
Benue,Maize,2020,237428.6,2.46,583179
Benue,Maize,2021,321150,1.97,632431.9
Benue,Maize,2022,282249.2,1.85,523017.6
Benue,Maize,2023,312283.9,1.83,570749.2
Benue,Maize,2024,457662.8,1.66,757528
Borno,Maize,2014,96898,2.35,227736.1
Borno,Maize,2015,134382.9,1.8,241282.7
Borno,Maize,2016,108136.8,2.17,234433.4
Borno,Maize,2017,128507.7,1.97,253158.2
Borno,Maize,2018,130621.2,1.79,233728.8
Borno,Maize,2019,105871.4,2.14,226615.3
Borno,Maize,2020,122174.6,1.75,214345.9
Borno,Maize,2021,147386.7,1.83,269007
Borno,Maize,2022,94398.1,2.24,211664.5
Borno,Maize,2023,110109.8,2.39,262820.2
Borno,Maize,2024,153416.5,2.05,314432
Cross River,Maize,2014,25815.1,2.25,
Cross River,Maize,2015,24852.2,2.21,54935.4
Cross River,Maize,2016,29734.1,1.86,55228.7
Cross River,Maize,2017,28808.9,1.98,56947.5
Cross River,Maize,2018,22469.5,2.5,56149.6
Cross River,Maize,2019,27615.1,2.11,58218.1
Cross River,Maize,2020,27271.5,2.15,58640.4
Cross River,Maize,2021,35033.9,1.77,62002.9
Cross River,Maize,2022,33087.7,1.89,62516.9
Cross River,Maize,2023,31827.4,2.07,66007.9
Cross River,Maize,2024,38394.7,1.69,64887.1
Delta,Maize,2014,22340.7,2.59,57871.1
Delta,Maize,2015,26118.7,1.96,51123.9
Delta,Maize,2016,26836.4,2.16,58038.3
Delta,Maize,2017,35805.6,1.76,63139.3
Delta,Maize,2018,26459.7,2.15,56773.9
Delta,Maize,2019,25939.4,2.1,54411.8
Delta,Maize,2020,31100.5,1.91,59350
Delta,Maize,2021,24851.8,2.16,53605.5
Delta,Maize,2022,29615.7,1.79,52875.2
Delta,Maize,2023,38897.1,1.95,75929
Delta,Maize,2024,38615.4,1.77,68315.8
Edo,Maize,2014,50132.9,2.42,121477.4
Edo,Maize,2015,52825.1,1.96,103577.4
Edo,Maize,2016,59036.7,1.99,117429.7
Edo,Maize,2017,58400.5,2.06,120519.7
Edo,Maize,2018,58146.4,1.73,100415
Edo,Maize,2019,63167.7,1.79,112937.7
Edo,Maize,2020,61671.2,1.75,107765.8
Edo,Maize,2021,51149.6,2.54,129858.8
Edo,Maize,2022,59698.4,2.07,123470.1
Edo,Maize,2023,55136.4,2.52,138825.8
Edo,Maize,2024,56377.1,2.52,142177.2
Ekiti,Maize,2014,97267.8,1.69,164650.6
Ekiti,Maize,2015,77560.2,2.07,160546.3
Ekiti,Maize,2016,79080.5,2.23,176598.5
Ekiti,Maize,2017,64157.1,2.41,154680.5
Ekiti,Maize,2018,74559.9,2.17,161604.8
Ekiti,Maize,2019,110222.4,1.69,186339.6
Ekiti,Maize,2020,84448.6,2.23,188052.2
Ekiti,Maize,2021,74961.3,2.09,156992.5
Ekiti,Maize,2022,79406.5,1.97,156553.4
Ekiti,Maize,2023,99188.4,1.72,170390.2
Ekiti,Maize,2024,83737.7,2.56,214244.1
Enugu,Maize,2014,29923.7,1.99,59635.5
Enugu,Maize,2015,21053.3,2.49,52388.2
Enugu,Maize,2016,20816.9,2.53,52614.7
Enugu,Maize,2017,32561.6,1.64,53404.2
Enugu,Maize,2018,26236.6,2.3,60471
Enugu,Maize,2019,21537.8,2.59,55886.6
Enugu,Maize,2020,32902.2,1.67,54944.5
Enugu,Maize,2021,32796.6,1.66,54374.9
Enugu,Maize,2022,23322.5,2.51,58483.7
Enugu,Maize,2023,42014.6,1.69,71164.7
Enugu,Maize,2024,38674,1.67,64636.1
FCT Abuja,Maize,2014,22225.4,2.58,57243.6
FCT Abuja,Maize,2015,30392,1.7,51661.3
Abuja FCT,Maize,2016,25366.2,2.27,57554.6
FCT Abuja,Maize,2017,29379.7,2.12,62351
Abuja FCT,Maize,2018,22369.8,2.06,46001.3
Abuja FCT,Maize,2019,25557,2.08,53106.1
FCT Abuja,Maize,2020,23016.7,2.38,54830.7
Abuja FCT,Maize,2021,28920,2,57923.2
Abuja FCT,Maize,2022,30264.9,1.87,56475.3
FCT Abuja,Maize,2023,27189.8,2.48,67309.5
FCT Abuja,Maize,2024,47007.2,1.67,78692.8
Gombe,Maize,2014,179079,1.77,316611.8
Gombe,Maize,2015,174950.1,1.6,280107
Gombe,Maize,2016,168639.1,1.7,287240.3
Gombe,Maize,2017,120768,2.56,309598.5
Gombe,Maize,2018,149205.4,1.72,256261
Gombe,Maize,2019,159200.6,1.8,286858.4
Gombe,Maize,2020,125958.2,2.34,294310.6
Gombe,Maize,2021,117943.8,2.51,295874.7
Gombe,Maize,2022,163179.2,1.81,295027.7
Gombe,Maize,2023,145458.3,2.04,296912.8
Gombe,Maize,2024,188061.7,1.82,341505.8
Jigawa,Maize,2014,97691.9,2.35,229803.6
Jigawa,Maize,2015,124287.8,1.82,225604.5
Jigawa,Maize,2016,113666.7,1.93,219292.9
Jigawa,Maize,2017,90900,2.21,200635.6
Jigawa,Maize,2018,91271.2,2.57,234453
Jigawa,Maize,2019,122825.4,1.98,242986.8
Jigawa,Maize,2020,135958.1,1.71,232586.8
Jigawa,Maize,2021,104329.1,2.44,254209.7
Jigawa,Maize,2022,108158.2,2.08,224906
Jigawa,Maize,2023,120848.1,2.18,263768.4
Jigawa,Maize,2024,113921.3,2.13,242836.1
Kaduna,Maize,2014,574081.9,2.27,1304466
Kaduna,Maize,2015,596652.6,1.82,1086383.8
Kaduna,Maize,2016,489403.2,2.22,1086264.2
Kaduna,Maize,2017,707260.9,1.99,1409206.5
Kaduna,Maize,2018,678350.1,1.79,1213211.8
Kaduna,Maize,2019,567452.6,1.99,1130085.8
Kaduna,Maize,2020,601834.1,2.19,1319796.1
Kaduna,Maize,2021,672187.9,2.05,1376802.5
Kaduna,Maize,2022,682950.8,1.79,1223794
Kaduna,Maize,2023,840005.1,1.74,1457440.8
Kaduna,Maize,2024,750002,1.98,1487091.4
Kano,Maize,2014,209072.3,2.48,518304.5
Kano,Maize,2015,231232.8,1.86,430135.7
Kano,Maize,2016,214146.8,2.41,515278.1
Kano,Maize,2017,346126.9,1.61,555697.5
Kano,Maize,2018,234403.1,2.03,476090.5
Kano,Maize,2019,253005.7,2.12,535298.2
Kano,Maize,2020,254391.8,2.03,515949.8
Kano,Maize,2021,266018.1,2.04,542363.5
Kano,Maize,2022,258782.2,2.03,525316.7
Kano,Maize,2023,246697.2,2.45,604654.1
Kano,Maize,2024,275433.9,2.16,595907.7
Katsina,Maize,2014,235095.1,2.49,586099.5
Katsina,Maize,2015,263786.1,2.2,580740.5
Katsina,Maize,2016,249532.3,2.55,635969.3
Katsina,Maize,2017,268939.1,2.1,563808.7
Katsina,Maize,2018,318026.4,2.23,710545.5
Katsina,Maize,2019,217619.4,2.58,560530
Katsina,Maize,2020,296098.8,2.25,665684.5
Katsina,Maize,2021,394768.3,1.87,739323.8
Katsina,Maize,2022,238505.3,2.56,611651.2
Katsina,Maize,2023,421872.2,1.81,763982.9
Katsina,Maize,2024,419201.8,1.82,763013.5
Kebbi,Maize,2014,161140.1,2.37,382647.1
Kebbi,Maize,2015,202254.8,1.91,387267.3
Kebbi,Maize,2016,180964.2,2.18,
Kebbi,Maize,2017,169120.1,2.37,401644.7
Kebbi,Maize,2018,163917.6,2.5,410283.9
Kebbi,Maize,2019,178834.5,2.17,387815
Kebbi,Maize,2020,199486.9,1.97,393171.3
Kebbi,Maize,2021,167066.4,2.47,412181.5
Kebbi,Maize,2022,233120.1,1.6,373995.9
Kebbi,Maize,2023,271360.1,1.73,468989.9
Kebbi,Maize,2024,314825.5,1.65,519739.4
Kogi,Maize,2014,126623.3,2.14,270839.9
Kogi,Maize,2015,155633.2,1.77,275775.8
Kogi,Maize,2016,151814.4,2.01,304945
Kogi,Maize,2017,112013,2.48,277584.6
Kogi,Maize,2018,133759.8,2.13,285563.6
Kogi,Maize,2019,102010.7,2.55,260009.2
Kogi,Maize,2020,151611.4,1.73,262462.9
Kogi,Maize,2021,199077.2,1.62,321670.1
Kogi,Maize,2022,138750.4,2,276839.6
Kogi,Maize,2023,125086.6,2.42,302772.8
Kogi,Maize,2024,220141.9,1.83,403023.9
Kwara,Maize,2014,132554.2,1.78,235454.9
Kwara,Maize,2015,87210.2,2.46,214561.6
Kwara,Maize,2016,138557.6,1.77,244701.3
Kwara,Maize,2017,161142.8,1.62,261691.1
Kwara,Maize,2018,95526.5,2.44,233290.4
Kwara,Maize,2019,134903.3,1.77,238626.8
Kwara,Maize,2020,114151.9,1.96,223473.2
Kwara,Maize,2021,130339.5,1.87,243485.4
Kwara,Maize,2022,91912.4,2.35,216414.4
Kwara,Maize,2023,106169.4,2.56,271860.3
Kwara,Maize,2024,108964.5,2.57,280294.5
Nasarawa,Maize,2014,280407,1.67,467583.9
Nasarawa,Maize,2015,180601.5,2.16,390320.1
Nasarawa,Maize,2016,196622.4,2.09,411662.8
Nasarawa,Maize,2017,238606.3,1.97,470784.6
Nasarawa,Maize,2018,162948.5,2.56,416937.5
Nasarawa,Maize,2019,298218.9,1.65,491798
Nasarawa,Maize,2020,242504.7,1.95,472320
Nasarawa,Maize,2021,182670.5,2.36,431678.8
Nasarawa,Maize,2022,192402.1,2.37,456348.9
Nasarawa,Maize,2023,220186.3,2.47,543292.9
Nasarawa,Maize,2024,237760.1,2.47,586102.6
Niger,Maize,2014,403133.4,2.39,962466.3
Niger,Maize,2015,503059.5,1.89,950321.5
Niger,Maize,2016,377416.5,2.45,925569.5
Niger,Maize,2017,497704.5,2.18,1084486.9
Niger,Maize,2018,522964.3,1.7,887371.1
Niger,Maize,2019,662112.4,1.68,1110651.2
Niger,Maize,2020,513139.2,2.24,1148204.9
Niger,Maize,2021,566951.6,1.84,1043617.9
Niger,Maize,2022,451363.5,2.41,1088683.4
Niger,Maize,2023,572847.2,2,1146867.5
Niger,Maize,2024,462318.5,2.48,1148181.8
Ogun,Maize,2014,55701.8,1.81,100730
Ogun,Maize,2015,55943.9,1.81,101089.9
Ogun,Maize,2016,55169.6,1.92,105965
Ogun,Maize,2017,50682.7,2.44,123550.1
Ogun,Maize,2018,48626.2,2.47,119975.5
Ogun,Maize,2019,51060.4,2.27,116052.9
Ogun,Maize,2020,48899.9,2.48,121409.9
Ogun,Maize,2021,45831.1,2.47,113336.2
Ogun,Maize,2022,59276.6,2,118752
Ogun,Maize,2023,60188.8,2.28,137108.3
Ogun,Maize,2024,57931.9,2.41,139717.3
Osun,Maize,2014,66657.2,1.72,114577.7
Osun,Maize,2015,59001.6,1.78,104795.1
Osun,Maize,2016,58594.7,1.98,115935.1
Osun,Maize,2017,63408.6,1.9,120717.1
